house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,CS_code,year,Grid_year,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,Operation_SH,P_avg_peak_kW_SH,Manufacture_SH,Distribution_SH,Installation_SH,EOL_SH,Other_SH,DW_code,Tank_Volume (L),P_annual_kWh_WH,Q_annual_kWh_WH,Operation_WH,P_avg_peak_kW_WH,Manufacture_WH,Distribution_WH,Installation_WH,EOL_WH,Other_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,Operation,Manufacture,Distribution,Installation,EOL,Other,Operation_SH_total_year,Operation_WH_total_year,Operation_total_year,P_annual_kWh_total_year,P_avg_peak_kW_total_year
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,135,246.0223328758283,1045.1411360470563,15.075102852790897,0.05652545444545868,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HP-C0-2025-Hhigh,381.97732482476687,1584.0751260695492,0.1404292037204482,27.03186961582552,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,11.956766763034624,15.075102852790897,27.03186961582552,381.97732482476687,0.1404292037204482
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,135,357.83452212095375,1521.4076238337868,21.934245699157135,0.09759421582778048,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HP-C0-2025-Hhigh,493.78951406989233,2060.3416138562798,0.18149796510277,33.89101246219176,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,11.956766763034624,21.934245699157135,33.89101246219176,493.78951406989233,0.18149796510277
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,180,487.7820823802187,2072.346479155806,30.361334098403955,0.12180006322888176,25.89031823809524,1.1621038704761903,0.8565640104761905,3.862356354761905,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HP-C0-2025-Hhigh,623.7370743291573,2611.2804691782985,0.20570381250387126,42.31810086143858,83.77353814285715,2.4691738876190477,4.490469202380952,15.354165564285715,73.78700124761906,11.956766763034624,30.361334098403955,42.31810086143858,623.7370743291573,0.20570381250387126
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,300,658.1091448908267,2802.744823491569,41.34847587072469,0.14484232092994245,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HP-C0-2025-Hhigh,794.0641368397652,3341.6788135140623,0.22874607020493198,53.30524263375931,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,11.956766763034624,41.34847587072469,53.30524263375931,794.0641368397652,0.22874607020493198
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,300,770.6443053146912,3280.56704057369,48.849520830147256,0.1782665139467952,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HP-C0-2025-Hhigh,906.5992972636298,3819.5010305961832,0.2621702632217847,60.80628759318188,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,11.956766763034624,48.849520830147256,60.80628759318188,906.5992972636298,0.2621702632217847
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,162,256.4695082823454,1089.1765010282277,15.780376622916595,0.05456729195886473,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HPo-C0-2025-Hhigh,392.4245002312839,1628.1104910507206,0.13847104123385423,27.73714338595122,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,11.956766763034624,15.780376622916595,27.73714338595122,392.4245002312839,0.13847104123385423
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,162,368.08616746885303,1564.8170593602945,22.601707866703425,0.10109983287606764,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HPo-C0-2025-Hhigh,504.0411594177916,2103.7510493827876,0.18500358215105717,34.55847462973805,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,11.956766763034624,22.601707866703425,34.55847462973805,504.0411594177916,0.18500358215105717
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,216,504.89281957598774,2144.518205237764,31.48451402620028,0.1288402186080681,28.345186138095237,1.3546509,1.0103260523809523,4.126710269999999,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HPo-C0-2025-Hhigh,640.8478115249263,2683.452195260257,0.2127439678830576,43.4412807892349,86.22840604285715,2.6617209171428575,4.644231244285714,15.618519479523808,73.78700124761906,11.956766763034624,31.48451402620028,43.4412807892349,640.8478115249263,0.2127439678830576
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,360,689.0074520446115,2932.8425077657357,43.35728417774845,0.16191882909891075,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HPo-C0-2025-Hhigh,824.96244399355,3471.776497788229,0.24582257837390026,55.31405094078307,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,11.956766763034624,43.35728417774845,55.31405094078307,824.96244399355,0.24582257837390026
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.956766763034624,0.08390374927498952,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,360,801.3942873763864,3410.2406622039807,50.86685156337299,0.1854143965900918,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HPo-C0-2025-Hhigh,937.3492793253249,3949.174652226474,0.2693181458650813,62.82361832640761,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,11.956766763034624,50.86685156337299,62.82361832640761,937.3492793253249,0.2693181458650813
